Neighborhood,Internet Penetration Rate (%),Estimated Online Shoppers,E-Commerce Activity Index (1-10),Predicted Online Order Volume (Monthly)
Kasba Peth,,,,
Guruwar Peth,,,,
Somwar Peth,,,,
Mangalwar Peth,,,,
Shukrawar Peth,,,,
Budhwar Peth,,,,
Ravivar Peth,,,,
Rasta Peth,,,,
Nana Peth,,,,
Ganesh Peth,,,,
Ghorpade Peth,,,,
Bhavani Peth,,,,
Narayan Peth,,,,
Sadashiv Peth,,,,
Shanipar Peth,,,,
Ganj Peth,,,,
Navi Peth,,,,
Aundh,,,,
Baner,,,,
Bavdhan Khurd,,,,
Bavdhan Budruk,,,,
Balewadi,,,,
Shivajinagar,,,,
Bibvewadi,,,,
Bhugaon,,,,
Bhukum,,,,
Dhankawadi,,,,
Dhanori,,,,
Dhayari,,,,
Erandwane,,,,
Fursungi,,,,
Ghorpadi,,,,
Hadapsar,,,,
Hingne Khurd,,,,
Karve Nagar,,,,
Kalas,,,,
Katraj,,,,
Khadki,,,,
Kharadi,,,,
Kondhwa,,,,
Koregaon Park,,,,
Kothrud,,,,
Lohagaon,,,,
Manjri,,,,
Markal,,,,
Mohammed Wadi,,,,
Mundhwa,,,,
Nanded,,,,
Parvati,,,,
Panmala,,,,
Pashan,,,,
Pirangut,,,,
Shivane,,,,
Sus,,,,
Undri,,,,
Vishrantwadi,,,,
Vitthalwadi,,,,
Vadgaon Khurd,,,,
Vadgaon Budruk,,,,
Vadgaon Sheri,,,,
Wagholi,,,,
Wanwadi,,,,
Warje,,,,
Yerwada,,,,
Akurdi,,,,
Bhosari,,,,
Chakan,,,,
Charholi Budruk,,,,
Chikhli,,,,
Chimbali,,,,
Chinchwad,,,,
Dapodi,,,,
Dehu Road,,,,
Dighi,,,,
Dudulgaon,,,,
Hinjawadi,,,,
Kalewadi,,,,
Kasarwadi,,,,
Maan,,,,
Moshi,,,,
Nigdi,,,,
Phugewadi,,,,
Pimple Gurav,,,,
Pimple Nilakh,,,,
Pimple Saudagar,,,,
Pimpri,,,,
Punawale,,,,
Ravet,,,,
Rahatani,,,,
Sangvi,,,,
Talawade,,,,
Tathawade,,,,
Thergaon,,,,
Wakad,,,,
Pune Cantonment,,,,
Khadki Cantonment,,,,
Dehu Road Cantonment,,,,
